Alfonso Cuarón
Christopher Nolan
Tom Hooper
Peter Jackson
Hayao Miyazaki
George Lucas
Richard Linklater
Frank Darabont
Brad Bird
Wes Anderson
Paul Thomas Anderson
Michael Bay
Bennett Miller
Clint Eastwood
Akira Kurosawa
Quentin Tarantino
Bryan Singer
Mel Gibson
Ron Howard
Milos Forman
Fernando Meirelles
John McTiernan
Jonathan Demme
David Lean
Michael Curtiz
Frank Capra
Darren Aronofsky
Ridley Scott
Terry Jones
Sam Mendes
Henry Selick
Charles Chaplin
Alejandro G. Iñárritu
Robert Zemeckis
Danny Boyle
George Roy Hill
Tim Burton
Irvin Kershner
Billy Wilder
John Lasseter
Jim Jarmusch
Ben Affleck
Erik Balling
Orson Welles
David O. Russell
Guy Ritchie
Francis Ford Coppola
James Cameron
Jean-Marc Vallée
Rob Reiner
Rob Marshall
Alfred Hitchcock
Martin Scorsese
William Wyler
Steven Spielberg
Denis Villeneuve
David Fincher
John Lee Hancock
Steve McQueen
Woody Allen
Lilly Wachowski
Wolfgang Petersen
Roman Polanski
Sergio Leone
Joel Coen
Zack Snyder
Sidney Lumet
Terry Gilliam
Stanley Kubrick
