name,wiki_url
Jennifer Abbott,https://en.wikipedia.org/wiki/Jennifer_Abbott
Marguerite Abouet,https://en.wikipedia.org/wiki/Marguerite_Abouet
Abiola Abrams,https://en.wikipedia.org/wiki/Abiola_Abrams
Jill Ackles,https://en.wikipedia.org/wiki/Jill_Ackles
Joey Lauren Adams,https://en.wikipedia.org/wiki/Joey_Lauren_Adams
Perry Miller Adato,https://en.wikipedia.org/wiki/Perry_Miller_Adato
Maren Ade,https://en.wikipedia.org/wiki/Maren_Ade
Yasmin Ahmad,https://en.wikipedia.org/wiki/Yasmin_Ahmad
Peggy Ahwesh,https://en.wikipedia.org/wiki/Peggy_Ahwesh
Kyōko Aizome,https://en.wikipedia.org/wiki/Ky%C5%8Dko_Aizome
Mania Akbari,https://en.wikipedia.org/wiki/Mania_Akbari
Chantal Akerman,https://en.wikipedia.org/wiki/Chantal_Akerman
Zoya Akhtar,https://en.wikipedia.org/wiki/Zoya_Akhtar
Nargis Akhter,https://en.wikipedia.org/wiki/Nargis_Akhter
Haifaa al-Mansour,https://en.wikipedia.org/wiki/Haifaa_al-Mansour
Gina Alajar,https://en.wikipedia.org/wiki/Gina_Alajar
Barbara Albert,https://en.wikipedia.org/wiki/Barbara_Albert
Lexi Alexander,https://en.wikipedia.org/wiki/Lexi_Alexander
Debbie Allen,https://en.wikipedia.org/wiki/Debbie_Allen
Chihiro Amano,https://en.wikipedia.org/wiki/Chihiro_Amano
Suzana Amaral,https://en.wikipedia.org/wiki/Suzana_Amaral
Tata Amaral,https://en.wikipedia.org/wiki/Tata_Amaral
Ana Lily Amirpour,https://en.wikipedia.org/wiki/Ana_Lily_Amirpour
Allison Anders,https://en.wikipedia.org/wiki/Allison_Anders
Jane Anderson,https://en.wikipedia.org/wiki/Jane_Anderson
Sarah Pia Anderson,https://en.wikipedia.org/wiki/Sarah_Pia_Anderson
Gillian Anderson,https://en.wikipedia.org/wiki/Gillian_Anderson
Momoko Ando,https://en.wikipedia.org/wiki/Momoko_Ando
Preeti Aneja,https://en.wikipedia.org/wiki/Preeti_Aneja
Jennifer Aniston,https://en.wikipedia.org/wiki/Jennifer_Aniston
Catherine Annau,https://en.wikipedia.org/wiki/Catherine_Annau
Martha Ansara,https://en.wikipedia.org/wiki/Martha_Ansara
Lisa Rose Apramian,https://en.wikipedia.org/wiki/Lisa_Rose_Apramian
Shamim Ara,https://en.wikipedia.org/wiki/Shamim_Ara
Danielle Arbid,https://en.wikipedia.org/wiki/Danielle_Arbid
Louise Archambault,https://en.wikipedia.org/wiki/Louise_Archambault
Francesca Archibugi,https://en.wikipedia.org/wiki/Francesca_Archibugi
Asia Argento,https://en.wikipedia.org/wiki/Asia_Argento
Franny Armstrong,https://en.wikipedia.org/wiki/Franny_Armstrong
Gillian Armstrong,https://en.wikipedia.org/wiki/Gillian_Armstrong
Gwen Arner,https://en.wikipedia.org/wiki/Gwen_Arner
Andrea Arnold,https://en.wikipedia.org/wiki/Andrea_Arnold
Patricia Arquette,https://en.wikipedia.org/wiki/Patricia_Arquette
Rosanna Arquette,https://en.wikipedia.org/wiki/Rosanna_Arquette
Karen Arthur,https://en.wikipedia.org/wiki/Karen_Arthur
Natasha Arthy,https://en.wikipedia.org/wiki/Natasha_Arthy
Dorothy Arzner,https://en.wikipedia.org/wiki/Dorothy_Arzner
Dinara Asanova,https://en.wikipedia.org/wiki/Dinara_Asanova
Amma Asante,https://en.wikipedia.org/wiki/Amma_Asante
Mari Asato,https://en.wikipedia.org/wiki/Mari_Asato
Jacqueline Audry,https://en.wikipedia.org/wiki/Jacqueline_Audry
Shona Auerbach,https://en.wikipedia.org/wiki/Shona_Auerbach
Nurith Aviv,https://en.wikipedia.org/wiki/Nurith_Aviv
Ronit Avni,https://en.wikipedia.org/wiki/Ronit_Avni
Lisa Azuelos,https://en.wikipedia.org/wiki/Lisa_Azuelos
Beth B,https://en.wikipedia.org/wiki/Beth_B
Jamie Babbit,https://en.wikipedia.org/wiki/Jamie_Babbit
Iskra Babich,https://en.wikipedia.org/wiki/Iskra_Babich
Julia Bacha,https://en.wikipedia.org/wiki/Julia_Bacha
Yamina Bachir-Chouikh,https://en.wikipedia.org/wiki/Yamina_Bachir-Chouikh
Marina Rice Bader,https://en.wikipedia.org/wiki/Marina_Rice_Bader
Cindy Baer,https://en.wikipedia.org/wiki/Cindy_Baer
Jennifer Baichwal,https://en.wikipedia.org/wiki/Jennifer_Baichwal
Paule Baillargeon,https://en.wikipedia.org/wiki/Paule_Baillargeon
Robin Bain,https://en.wikipedia.org/wiki/Robin_Bain
Josiane Balasko,https://en.wikipedia.org/wiki/Josiane_Balasko
Lucille Ball,https://en.wikipedia.org/wiki/Lucille_Ball
Anne Bancroft,https://en.wikipedia.org/wiki/Anne_Bancroft
Rakhshan Bani-Etemad,https://en.wikipedia.org/wiki/Rakhshan_Bani-Etemad
André-Line Beauparlant,https://en.wikipedia.org/wiki/Andr%C3%A9-Line_Beauparlant
Manon Barbeau,https://en.wikipedia.org/wiki/Manon_Barbeau
Laurence Ferreira Barbosa,https://en.wikipedia.org/wiki/Laurence_Ferreira_Barbosa
Laura Bari,https://en.wikipedia.org/wiki/Laura_Bari
Neema Barnette,https://en.wikipedia.org/wiki/Neema_Barnette
Roseanne Barr,https://en.wikipedia.org/wiki/Roseanne_Barr
Drew Barrymore,https://en.wikipedia.org/wiki/Drew_Barrymore
Angela Bassett,https://en.wikipedia.org/wiki/Angela_Bassett
Joy Batchelor,https://en.wikipedia.org/wiki/Joy_Batchelor
Kathy Bates,https://en.wikipedia.org/wiki/Kathy_Bates
Signe Baumane,https://en.wikipedia.org/wiki/Signe_Baumane
Jordan Bayne,https://en.wikipedia.org/wiki/Jordan_Bayne
Amanda Bearse,https://en.wikipedia.org/wiki/Amanda_Bearse
Maria Beatty,https://en.wikipedia.org/wiki/Maria_Beatty
Gabrielle Beaumont,https://en.wikipedia.org/wiki/Gabrielle_Beaumont
Aida Begic,https://en.wikipedia.org/wiki/Aida_Begic
Fatma Begum,https://en.wikipedia.org/wiki/Fatma_Begum
Feryal Behzad,https://en.wikipedia.org/wiki/Feryal_Behzad
Esther Bell,https://en.wikipedia.org/wiki/Esther_Bell
Mary Lou Belli,https://en.wikipedia.org/wiki/Mary_Lou_Belli
Edet Belzberg,https://en.wikipedia.org/wiki/Edet_Belzberg
María Luisa Bemberg,https://en.wikipedia.org/wiki/Mar%C3%ADa_Luisa_Bemberg
Jessica Bendinger,https://en.wikipedia.org/wiki/Jessica_Bendinger
Yamina Benguigui,https://en.wikipedia.org/wiki/Yamina_Benguigui
Sadie Benning,https://en.wikipedia.org/wiki/Sadie_Benning
Amber Benson,https://en.wikipedia.org/wiki/Amber_Benson
Shari Springer Berman,https://en.wikipedia.org/wiki/Shari_Springer_Berman
Joyce Bernal,https://en.wikipedia.org/wiki/Joyce_Bernal
Juliet Berto,https://en.wikipedia.org/wiki/Juliet_Berto
Diane Bertrand,https://en.wikipedia.org/wiki/Diane_Bertrand
Maïwenn Le Besco,https://en.wikipedia.org/wiki/Ma%C3%AFwenn_Le_Besco
Jane Marsh Beveridge,https://en.wikipedia.org/wiki/Jane_Marsh_Beveridge
Troy Beyer,https://en.wikipedia.org/wiki/Troy_Beyer
Pooja Bhatt,https://en.wikipedia.org/wiki/Pooja_Bhatt
Susanne Bier,https://en.wikipedia.org/wiki/Susanne_Bier
Kathryn Bigelow,https://en.wikipedia.org/wiki/Kathryn_Bigelow
Anna Biller,https://en.wikipedia.org/wiki/Anna_Biller
Patricia Birch,https://en.wikipedia.org/wiki/Patricia_Birch
Antonia Bird,https://en.wikipedia.org/wiki/Antonia_Bird
Simone Bitton,https://en.wikipedia.org/wiki/Simone_Bitton
Sonia Blangiardo,https://en.wikipedia.org/wiki/Sonia_Blangiardo
Lidia Bobrova,https://en.wikipedia.org/wiki/Lidia_Bobrova
Anna Boden,https://en.wikipedia.org/wiki/Anna_Boden
Icíar Bollaín,https://en.wikipedia.org/wiki/Ic%C3%ADar_Bolla%C3%ADn
Natalya Bondarchuk,https://en.wikipedia.org/wiki/Natalya_Bondarchuk
Lisa Bonet,https://en.wikipedia.org/wiki/Lisa_Bonet
Sandrine Bonnaire,https://en.wikipedia.org/wiki/Sandrine_Bonnaire
Manju Borah,https://en.wikipedia.org/wiki/Manju_Borah
