uid,category,url
0,article,https://www.filmcomment.com/article/jia-zhangke-interview/
1,article,https://www.filmcomment.com/article/review-a-most-violent-year-jc-chandor/
2,article,https://www.filmcomment.com/article/directions-claude-lanzmann/
3,article,https://www.filmcomment.com/article/review-the-road-to-guantanamo/
4,article,https://www.filmcomment.com/article/28th-annual-grosses-gloss/
5,article,https://www.filmcomment.com/article/review-timbuktu-abderrahmane-sissako/
6,article,https://www.filmcomment.com/article/hitchcock-olympiad/
7,article,https://www.filmcomment.com/article/the-perks-of-being-a-wallflower-stephen-chbosky-review/
8,article,https://www.filmcomment.com/article/review-cold-war/
9,article,https://www.filmcomment.com/article/wish-list-victory/
10,article,https://www.filmcomment.com/article/toronto-international-film-festival-2015/
11,article,https://www.filmcomment.com/article/chris-marker-the-invisible-man/
12,article,https://www.filmcomment.com/article/film-comments-trivial-top-20-expanded-to-40-the-best-performances-by-childr/
13,article,https://www.filmcomment.com/article/fantasia-international-film-festival/
14,article,https://www.filmcomment.com/article/asian-cinema-pick-life-of-oharu/
15,article,https://www.filmcomment.com/article/get-me-rewrite/
16,article,https://www.filmcomment.com/article/cannes-2008-take-one/
17,article,https://www.filmcomment.com/article/review-queen-of-earth-alex-ross-perry/
18,article,https://www.filmcomment.com/article/nadav-schirman-the-green-prince-review/
19,article,https://www.filmcomment.com/article/review-all-is-lost-robert-redford/
20,article,https://www.filmcomment.com/article/midsection-around-the-world-with-chris-marker/
21,article,https://www.filmcomment.com/article/grant-heslov-interview/
22,article,https://www.filmcomment.com/article/terra-incognita-films-to-look-out-for-in-2005/
23,article,https://www.filmcomment.com/article/time-code-review/
24,article,https://www.filmcomment.com/article/review-defamation-yoav-shamir/
25,article,https://www.filmcomment.com/article/dead-birds-robert-gardner/
26,article,https://www.filmcomment.com/article/henry-king-margie/
27,article,https://www.filmcomment.com/article/the-broken-circle-breakdown-review-felix-van-groeningen/
28,article,https://www.filmcomment.com/article/lav-diaz-norte-the-end-of-history/
29,article,https://www.filmcomment.com/article/cannes-2014-amy-taubin/
30,article,https://www.filmcomment.com/article/cannon-fathers/
31,article,https://www.filmcomment.com/article/review-spotlight-tom-mccarthy/
32,article,https://www.filmcomment.com/article/the-close-up-films-that-changed-filmmaking/
33,article,https://www.filmcomment.com/article/encore-demon-lover-diary-and-seventeen/
34,article,https://www.filmcomment.com/article/gohatto-review/
35,article,https://www.filmcomment.com/article/the-quiet-man-john-ford-dvd-review/
36,article,https://www.filmcomment.com/article/review-the-unknown-girl-dardenne/
37,article,https://www.filmcomment.com/article/review-the-great-beauty-sorrentino/
38,article,https://www.filmcomment.com/article/come-together-ryoji-ikeda-traverses-the-transfinite/
39,article,https://www.filmcomment.com/article/the-missing-piece/
40,article,https://www.filmcomment.com/article/most-memorable-animation-of-2012/
41,article,https://www.filmcomment.com/article/extended-readers-poll-results-best-movies-of-2007-list/
42,article,https://www.filmcomment.com/article/the-executioners-song/
43,article,https://www.filmcomment.com/article/against-the-grain-ram-gopal-varma/
44,article,https://www.filmcomment.com/article/fatima-philippe-faucon/
45,article,https://www.filmcomment.com/article/gangs-of-new-york/
46,article,https://www.filmcomment.com/article/cannes-2004-take-two/
47,article,https://www.filmcomment.com/article/make-it-real-the-dancer-and-the-dance/
48,article,https://www.filmcomment.com/article/a-blast-from-the-past-alexander-kluge-interview/
49,article,https://www.filmcomment.com/article/cannes-2005-take-two/
50,article,https://www.filmcomment.com/article/festivals-cannes-2012-me-and-you-bertolucci-review/
51,article,https://www.filmcomment.com/article/festivals-new-york-1978/
52,article,https://www.filmcomment.com/article/short-take-waldheim-waltz/
53,article,https://www.filmcomment.com/article/saint-laurent-bertrand-bonello/
54,article,https://www.filmcomment.com/article/review-war-for-the-planet-of-the-apes/
55,article,https://www.filmcomment.com/article/review-private-life/
56,article,https://www.filmcomment.com/article/roger-ebert-life-itself-steve-james-review/
57,article,https://www.filmcomment.com/article/top-of-the-world/
58,article,https://www.filmcomment.com/article/review-the-girlfriend-experience-steven-soderbergh/
59,article,https://www.filmcomment.com/article/cannes-market-2015-laura-kern/
60,article,https://www.filmcomment.com/article/into-the-unknown/
61,article,https://www.filmcomment.com/article/hot-property-tulpan/
62,article,https://www.filmcomment.com/article/review-southpaw-antoine-fuqua-jake-gyllenhaal/
63,article,https://www.filmcomment.com/article/interview-andrzej-wajda/
64,article,https://www.filmcomment.com/article/review-the-son-of-joseph-eugene-green/
65,article,https://www.filmcomment.com/article/night-gallery-twin-peaks/
66,article,https://www.filmcomment.com/article/scare-tactics-senseless-violence/
67,article,https://www.filmcomment.com/article/review-after-the-storm-hirokazu-kore-eda/
68,article,https://www.filmcomment.com/article/chris-marker-deciphering-the-future/
69,article,https://www.filmcomment.com/article/art-craft-permitted/
70,article,https://www.filmcomment.com/article/cinematic-faith-christopher-nolan-scott-foundas/
71,article,https://www.filmcomment.com/article/peter-kubelka-frame-by-frame-antiphon-adebar-arnulf-rainer/
72,article,https://www.filmcomment.com/article/a-face-in-the-crowd-louis-jean-heydt/
73,article,https://www.filmcomment.com/article/review-sun-dont-shine-amy-seimetz/
74,article,https://www.filmcomment.com/article/intolerance-quentin-tarantino-john-ford/
75,article,https://www.filmcomment.com/article/20-best-film-comment-covers/
76,article,https://www.filmcomment.com/article/the-zero-theorem-terry-gilliam-review/
77,article,https://www.filmcomment.com/article/stanley-milgram-experimenter-michael-almereyda/
78,article,https://www.filmcomment.com/article/home-movies-reviews-ja-18/
79,article,https://www.filmcomment.com/article/review-wetlands-david-wnendt/
80,article,https://www.filmcomment.com/article/beyond-the-forest-king-vidor-bette-davis/
81,article,https://www.filmcomment.com/article/short-takes-shame-sleeping-beauty/
82,article,https://www.filmcomment.com/article/terence-davies-sunset-song-interview/
83,article,https://www.filmcomment.com/article/review-le-week-end-roger-michell/
84,article,https://www.filmcomment.com/article/box-set-pick-mr-magoo-the-theatrical-collection-1949-1959/
85,article,https://www.filmcomment.com/article/hot-property-k-emyr-ap-richard-and-darhad-erdenibulag/
86,article,https://www.filmcomment.com/article/site-specifics-riverofthe-net/
87,article,https://www.filmcomment.com/article/lightning-in-a-bottle-maurice-pialat-profile/
88,article,https://www.filmcomment.com/article/sundance-film-festival-2014-2/
89,article,https://www.filmcomment.com/article/review-louder-than-bombs-joachim-trier/
90,article,https://www.filmcomment.com/article/philomena-judi-dench-steve-coogan-review/
91,article,https://www.filmcomment.com/article/citizenfour-laura-poitras-edward-snowden/
92,article,https://www.filmcomment.com/article/alice-winocour-review-disorder/
93,article,https://www.filmcomment.com/article/film-comments-trivial-top-20-expanded-to-50-best-acting-performance-by-a-mu/
94,article,https://www.filmcomment.com/article/handmade-man-an-interview-with-george-harrison/
95,article,https://www.filmcomment.com/article/hope-us-yet/
96,article,https://www.filmcomment.com/article/review-foxcatcher-bennett-miller/
97,article,https://www.filmcomment.com/article/hot-property-me-too-ja-tozhe-hochu/
98,article,https://www.filmcomment.com/article/review-bpm-beats-per-minute-robin-campillo/
99,article,https://www.filmcomment.com/article/review-miles-ahead-don-cheadle/
100,article,https://www.filmcomment.com/article/interview-satyajit-ray/
101,article,https://www.filmcomment.com/article/savoir-faire/
102,article,https://www.filmcomment.com/article/guy-and-madeline-on-a-park-bench-review/
103,article,https://www.filmcomment.com/article/sundance-film-festival-2013-2/
104,article,https://www.filmcomment.com/article/an-oversimplification-of-her-beauty-terence-nance-review/
105,article,https://www.filmcomment.com/article/make-it-real-give-and-take/
