Категория: Все категории

Месяц,female director: (По всему миру)
2009-01,35
2009-02,35
2009-03,41
2009-04,31
2009-05,21
2009-06,31
2009-07,38
2009-08,37
2009-09,31
2009-10,31
2009-11,21
2009-12,27
2010-01,39
2010-02,51
2010-03,100
2010-04,36
2010-05,45
2010-06,24
2010-07,44
2010-08,36
2010-09,35
2010-10,30
2010-11,24
2010-12,35
2011-01,29
2011-02,28
2011-03,39
2011-04,28
2011-05,31
2011-06,27
2011-07,32
2011-08,34
2011-09,35
2011-10,54
2011-11,31
2011-12,33
2012-01,31
2012-02,43
2012-03,35
2012-04,38
2012-05,36
2012-06,33
2012-07,50
2012-08,34
2012-09,33
2012-10,31
2012-11,34
2012-12,42
2013-01,45
2013-02,45
2013-03,42
2013-04,35
2013-05,42
2013-06,31
2013-07,39
2013-08,39
2013-09,36
2013-10,34
2013-11,39
2013-12,33
2014-01,43
2014-02,42
2014-03,48
2014-04,40
2014-05,42
2014-06,31
2014-07,38
2014-08,35
2014-09,36
2014-10,45
2014-11,42
2014-12,40
2015-01,57
2015-02,66
2015-03,42
2015-04,44
2015-05,43
2015-06,36
2015-07,39
2015-08,39
2015-09,48
2015-10,45
2015-11,40
2015-12,53
2016-01,54
2016-02,53
2016-03,63
2016-04,55
2016-05,55
2016-06,56
2016-07,58
2016-08,46
2016-09,52
2016-10,52
2016-11,50
2016-12,47
2017-01,48
2017-02,78
2017-03,53
2017-04,54
2017-05,50
2017-06,60
2017-07,50
2017-08,42
2017-09,54
2017-10,49
2017-11,51
2017-12,52
2018-01,82
2018-02,89
2018-03,89
2018-04,61
2018-05,63
2018-06,53
2018-07,48
2018-08,56
2018-09,54
2018-10,50
2018-11,49
2018-12,54
2019-01,52
