uid,category,url
0,news,/news/nelson-mandelas-grandson-kweku-inaugural-africa-rising-film-festival-africas-moment-has-come-1163712
1,news,/news/sf-studios-buys-norways-paradox-producer-kings-choice-u-july-22-1168567
2,news,/news/long-days-journey-night-nabs-record-15m-presales-china-1171629
3,news,/news/roma-gets-screenings-at-mexicos-presidential-residence-1167192
4,news,/news/mr-rogers-is-advocate-civility-we-need-says-doc-director-1159753
5,news,/news/edgar-wright-direct-london-based-psychological-horror-film-1177731
6,news,/features/how-melissa-mccarthy-stepped-julianne-moore-can-you-ever-forgive-me-1172472
7,news,/news/roger-robinson-dead-tony-winning-actor-a-detective-kojak-was-78-1147918
8,news,/news/feng-xiaogang-cameo-as-is-purest-white-ny-film-fest-screening-1148460
9,news,/news/mpaas-r-rating-anti-abortion-film-disputed-by-distributor-pure-flix-1189183
10,news,/news/luchino-visconti-burt-reynolds-bob-rafelson-more-a-february-do-list-films-buffs-la-1183025
11,news,/news/thailands-manta-ray-indias-bulbul-can-sing-top-mumbai-film-festival-awards-1157107
12,news,/news/european-shooting-stars-unveils-2019-crop-young-acting-talent-1168062
13,news,/news/tony-hawk-says-minding-gap-is-brutally-honest-guest-column-1187479
14,news,/news/how-cinestate-film-studio-is-turning-controversial-topics-revenue-1178338
15,news,/news/ruth-e-carter-her-costume-designers-guild-career-nod-1185824
16,news,/news/awkwafina-drama-farewell-lands-at-a24-1179548
17,news,/features/how-disney-will-make-21st-century-fox-disappear-1182704
18,news,/news/breaking-down-oscars-documentary-feature-shortlist-1172705
19,news,/news/berlin-hidden-gem-reconstructing-utoya-creates-tragedy-find-closure-1183494
20,news,/news/universe-sells-white-storm-2-multiple-territories-1195243
21,news,/news/sundance-talent-forum-inaugural-event-featuring-ryan-coogler-1176403
22,news,/news/disney-sets-post-merger-international-leadership-1168966
23,news,/news/sundance-robert-redford-makes-a-brief-pit-stop-as-fest-gets-underway-1178922
24,news,/news/feminist-thriller-bellwether-be-released-by-giant-pictures-1176752
25,news,/news/beautiful-boy-helmer-timothee-chalamet-films-emotional-scenes-1155981
26,news,/news/hayao-miyazaki-receive-award-los-angeles-film-critics-1154423
27,news,/news/spirit-awards-sorry-bother-yous-boots-riley-wins-best-first-feature-1189426
28,news,/news/far-east-festival-open-korean-ferry-disaster-drama-birthday-1198083
29,news,/news/japan-academy-awards-shoplifters-leads-13-nominations-1176525
30,news,/news/buyers-producers-are-betting-smaller-more-niche-films-1155977
31,news,/news/caa-signs-albert-hughes-1199023
32,news,/news/how-grinch-leveraged-snarky-ads-lure-gen-z-millennials-1160248
33,news,/news/why-original-lion-king-writers-are-losing-years-remake-1174451
34,news,/news/afm-chief-jonathan-wolf-talks-netflix-importance-physical-market-goal-is-drive-up-prices-1158000
35,news,/news/lady-gaga-sean-penn-honor-bradley-cooper-at-american-cinematheque-gala-1165182
36,news,/news/watch-hollywood-reporters-full-actor-roundtable-mahershala-ali-chadwick-boseman-more-1176280
37,news,/news/black-panther-album-soundtrack-win-at-2019-grammys-awards-1185173
38,news,/news/imax-filmmaker-toni-myers-honored-order-canada-nasa-tribute-1185302
39,news,/news/spirit-awards-2019-10-see-things-not-shown-tv-1189632
40,news,/news/sam-worthington-star-netflix-action-thriller-brad-anderson-1160389
41,news,/features/investigation-murder-sal-mineo-1169880
42,news,/features/screenwriting-is-a-bastardized-form-writer-roundtable-1160626
43,news,/features/how-awkwafina-went-viral-vagina-video-movies-snl-host-1158458
44,news,/news/philadelphia-screenwriter-reveals-how-film-changed-my-life-1165556
45,news,/news/sundance-keira-knightly-drama-official-secrets-acquired-by-ifc-films-1179711
46,news,/news/why-fox-hired-fired-bryan-singer-bohemian-rhapsody-1156527
