Dominique Abel
Jennifer Getzinger
Melinda McDougall
Aoife McArdle
Diane Bell
Sara Johnsen
Maggie Surovell
Nancy Meyers
Annika Berg
Brenda Chapman
Susan Saladoff
Petra Biondina Volpe
Henriette Mantel
Anne Zohra Berrached
Tatia Rosenthal
Elizabeth Ito
Maya Deren
Floria Sigismondi
Nancy Kruse
Jane Campion
Kathleen Hepburn
Julia Solomonoff
Lesli Linka Glatter
Kimberly Reed
Sophia Takal
Ann Hui
Quinn Shephard
Kate Chaplin
So Yong Kim
Doris Dörrie
Kathryn Bigelow
Katherine Dieckmann
Jessica Yu
Eleanor Coppola
Lisa Azuelos
Megan Freels Johnston
Reed Morano
Shannon Walsh
Barbara Kopple
Amanda Sthers
Gillian Robespierre
Valerie Faris
Martha Coolidge
Angelina Jolie
Luc Bondy
Lauren Greenfield
Beata Gårdeler
Ralitza Petrova
Naomi Klein
Kristen Stewart
Elisabeth Subrin
Danièle Thompson
Anne Giafferi
Sophie Lellouche
Cherien Dabis
Heidi Hartwig
Yang-hee Kim
Randa Haines
Iram Haq
Zana Briski
Agnès Varda
Kira Muratova
Mary Lambert
Beth McCarthy-Miller
Ivana Mladenovic
Annabel Park
Jess Teong
Elyse Steinberg
Adrienne Shelly
Rachel Goldberg
Laura Gabbert
Drew Barrymore
Shu Shuen Tong
Catherine Breillat
Liz Garbus
Jennifer Arnold
Mira Nair
Irena Salina
Lucy Walker
Amma Asante
Ashley Avis
Kasi Lemmons
Shari Springer Berman
Antonia Bird
Barbra Streisand
Carolin Von Petzholdt
Jennifer Baichwal
Mimi Leder
Christine Jeffs
Julia Sweeney
Julia Kwan
Nicole Garcia
Susanna White
Ondi Timoner
Kate Davis
Jehane Noujaim
Marjane Satrapi
Haifaa Al-Mansour
Anne Fletcher
Courtney Hunt
Laura Poitras
Heidi Ewing
Judith Helfand
Janicza Bravo
Amy Heckerling
Christine Lahti
Nancy Savoca
Niki Caro
Clio Barnard
Nijla Mumin
Gina Prince-Bythewood
Lana Wachowski
Penelope Spheeris
Lake Bell
Melina Matsoukas
Josephine Decker
Juanita Wilson
Alison Maclean
Judy Irving
Ildikó Enyedi
Margaret Brown
Nadia Conners
Chloé Zhao
Melody Gilbert
Anna Foerster
Paula van der Oest
Isabel Coixet
Lena Dunham
Nina Conti
Pepita Ferrari
Stacy Title
Sharon Maguire
Tala Hadid
Tatiana Huezo
Alice Winocour
Barbara Brancaccio
Patty Jenkins
Cécile Telerman
Maud Alpi
Gabriela Cowperthwaite
Tali Shemesh
Linda Goldstein Knowlton
Franny Armstrong
Karyn Kusama
Susanne Bier
Kirsten Tan
Catherine Hardwicke
Anna Rose Holmer
Ellen Hovde
Jennifer Abbott
Shira Piven
Penny Marshall
Jessie Nelson
Sophia Cacciola
Joan Chen
Laura Mora Ortega
Nora Ephron
Lone Scherfig
Ann Seidl
Diana Galimzyanova
Anna Biller
Laura Lau
Tamra Davis
Zia Anger
Patricia Riggen
Jenna Cato Bass
Leanne Pooley
Jacqueline Goss
Nicole Holofcener
Lynne Ramsay
Agnieszka Holland
Lorene Scafaria
Lina Rodriguez
Gillian Armstrong
Sarah Polley
Marielle Heller
Yamina Bachir
Lisa Cholodenko
Céline Sciamma
Bronwen Hughes
Amy Berg
Amy Seimetz
Maryam Keshavarz
Lucia Aniello
Sylvie Verheyde
Dee Rees
Ana Lily Amirpour
Julie Delpy
Nicole Kassell
Christine Cynn
Katharina Wyss
Darnell Martin
Cindy Meehl
Susan Kaplan
Maren Ade
Darya Zhuk
Kathy Bates
Lucrecia Martel
Holly Dale
Rebecca Harrell Tickell
Julie Taymor
Sudha Kongara
Julia Loktev
Barbara Doran
Kimberly Peirce
Sally Potter
Sophie Fiennes
Larysa Kondracki
Lucía Puenzo
Lisanne Pajot
Sierra Pettengill
Zoe Lister-Jones
Ashley McKenzie
Amy S. Weber
Nora Twomey
Jordan Scott
Lucile Hadzihalilovic
Rima Das
Jannicke Systad Jacobsen
Dpyx
Celia Rowlson-Hall
Euzhan Palcy
Natalia Garagiola
Ingrid Jungermann
Rama Burshtein
Anita Rocha da Silveira
Loveleen Tandan
Jazmín Stuart
Stella Meghie
Michelle MacLaren
Katja von Garnier
Carla Simón
Lynn Shelton
Ava DuVernay
Greta Gerwig
Julie Anderson
Sarah Gavron
Betty Thomas
Klaudia Reynicke
Mary Harron
Nina Davenport
Andrea Arnold
Jill Soloway
Jocelyn Moorhouse
Melanie Mayron
Gail Mancuso
Susie Dietter
Pamela Fryman
Kirsten Johnson
Amber Sealey
Heather Donahue
Freida Lee Mock
Cali Lili
Lynn Hershman-Leeson
Rachel Lee Goldenberg
Ashley Sabin
Jodie Foster
Rebecca Zlotowski
Sofia Coppola
Jennifer Celotta
Aisling Walsh
Valérie Müller
Eliza Hittman
Jennifer Kent
Rebecca Miller
Tanya Wexler
Leni Riefenstahl
Catherine Bainbridge
Caroline Deruas-Garrel
Gabrielle Provaas
Sara Forestier
Anna Melikyan
Kátia Lund
Gurinder Chadha
Tamara Jenkins
Sam Taylor-Johnson
Maria Schrader
Soo-youn Lee
Lavinia Currier
Sherry Hormann
Debra Granik
Naomi Kawase
