name,wiki_url
Dodo Abashidze,https://en.wikipedia.org/wiki/Dodo_Abashidze
George Abbott,https://en.wikipedia.org/wiki/George_Abbott
Jim Abrahams,https://en.wikipedia.org/wiki/Jim_Abrahams
Abiola Abrams,https://en.wikipedia.org/wiki/Abiola_Abrams
Ivan Abramson,https://en.wikipedia.org/wiki/Ivan_Abramson
Hany Abu-Assad,https://en.wikipedia.org/wiki/Hany_Abu-Assad
Tengiz Abuladze,https://en.wikipedia.org/wiki/Tengiz_Abuladze
Herbert Achternbusch,https://en.wikipedia.org/wiki/Herbert_Achternbusch
Andrew Adamson,https://en.wikipedia.org/wiki/Andrew_Adamson
Carine Adler,https://en.wikipedia.org/wiki/Carine_Adler
Percy Adlon,https://en.wikipedia.org/wiki/Percy_Adlon
Franklin Adreon,https://en.wikipedia.org/wiki/Franklin_Adreon
Ben Affleck,https://en.wikipedia.org/wiki/Ben_Affleck
Alejandro Agresti,https://en.wikipedia.org/wiki/Alejandro_Agresti
Alexandre Aja,https://en.wikipedia.org/wiki/Alexandre_Aja
Chantal Akerman,https://en.wikipedia.org/wiki/Chantal_Akerman
Desiree Akhavan,https://en.wikipedia.org/wiki/Desiree_Akhavan
Fatih Akın,https://en.wikipedia.org/wiki/Fatih_Ak%C4%B1n
Moustapha Akkad,https://en.wikipedia.org/wiki/Moustapha_Akkad
Timothy Albee,https://en.wikipedia.org/wiki/Timothy_Albee
Barbara Albert,https://en.wikipedia.org/wiki/Barbara_Albert
Alan Alda,https://en.wikipedia.org/wiki/Alan_Alda
Robert Aldrich,https://en.wikipedia.org/wiki/Robert_Aldrich
Tomás Gutiérrez Alea,https://en.wikipedia.org/wiki/Tom%C3%A1s_Guti%C3%A9rrez_Alea
Grigori Aleksandrov,https://en.wikipedia.org/wiki/Grigori_Aleksandrov
Khalik Allah,https://en.wikipedia.org/wiki/Khalik_Allah
Marc Allégret,https://en.wikipedia.org/wiki/Marc_All%C3%A9gret
Yves Allégret,https://en.wikipedia.org/wiki/Yves_All%C3%A9gret
Irwin Allen,https://en.wikipedia.org/wiki/Irwin_Allen
Woody Allen,https://en.wikipedia.org/wiki/Woody_Allen
Sherman Alexie,https://en.wikipedia.org/wiki/Sherman_Alexie
Syed Ali Raza Usama,https://en.wikipedia.org/wiki/Syed_Ali_Raza_Usama
Pedro Almodóvar,https://en.wikipedia.org/wiki/Pedro_Almod%C3%B3var
Paul Almond,https://en.wikipedia.org/wiki/Paul_Almond
Robert Altman,https://en.wikipedia.org/wiki/Robert_Altman
Fede Alvarez,https://en.wikipedia.org/wiki/Fede_Alvarez
Mathieu Amalric,https://en.wikipedia.org/wiki/Mathieu_Amalric
Ned Ambler,https://en.wikipedia.org/wiki/Ned_Ambler
Gianni Amelio,https://en.wikipedia.org/wiki/Gianni_Amelio
Alejandro Amenábar,https://en.wikipedia.org/wiki/Alejandro_Amen%C3%A1bar
Jon Amiel,https://en.wikipedia.org/wiki/Jon_Amiel
Ana Lily Amirpour,https://en.wikipedia.org/wiki/Ana_Lily_Amirpour
Thom Andersen,https://en.wikipedia.org/wiki/Thom_Andersen
Lindsay Anderson,https://en.wikipedia.org/wiki/Lindsay_Anderson
Paul Thomas Anderson,https://en.wikipedia.org/wiki/Paul_Thomas_Anderson
Wes Anderson,https://en.wikipedia.org/wiki/Wes_Anderson
Roy Andersson,https://en.wikipedia.org/wiki/Roy_Andersson
Metodi Andonov,https://en.wikipedia.org/wiki/Metodi_Andonov
Raoul André,https://en.wikipedia.org/wiki/Raoul_Andr%C3%A9
Kostas Andritsos,https://en.wikipedia.org/wiki/Kostas_Andritsos
Theo Angelopoulos,https://en.wikipedia.org/wiki/Theo_Angelopoulos
Kenneth Anger,https://en.wikipedia.org/wiki/Kenneth_Anger
Threes Anna,https://en.wikipedia.org/wiki/Threes_Anna
Ken Annakin,https://en.wikipedia.org/wiki/Ken_Annakin
Jean-Jacques Annaud,https://en.wikipedia.org/wiki/Jean-Jacques_Annaud
Hideaki Anno,https://en.wikipedia.org/wiki/Hideaki_Anno
Arnold Antonin,https://en.wikipedia.org/wiki/Arnold_Antonin
Michelangelo Antonioni,https://en.wikipedia.org/wiki/Michelangelo_Antonioni
Oscar Apfel,https://en.wikipedia.org/wiki/Oscar_Apfel
Michael Apted,https://en.wikipedia.org/wiki/Michael_Apted
Gregg Araki,https://en.wikipedia.org/wiki/Gregg_Araki
Alfonso Aráu,https://en.wikipedia.org/wiki/Alfonso_Ar%C3%A1u
Denys Arcand,https://en.wikipedia.org/wiki/Denys_Arcand
George Archainbaud,https://en.wikipedia.org/wiki/George_Archainbaud
Emile Ardolino,https://en.wikipedia.org/wiki/Emile_Ardolino
Asia Argento,https://en.wikipedia.org/wiki/Asia_Argento
Dario Argento,https://en.wikipedia.org/wiki/Dario_Argento
Dionciel Armstrong,https://en.wikipedia.org/wiki/Dionciel_Armstrong
Gillian Armstrong,https://en.wikipedia.org/wiki/Gillian_Armstrong
Andrea Arnold,https://en.wikipedia.org/wiki/Andrea_Arnold
Darren Aronofsky,https://en.wikipedia.org/wiki/Darren_Aronofsky
Fernando Arrabal,https://en.wikipedia.org/wiki/Fernando_Arrabal
Miguel Arteta,https://en.wikipedia.org/wiki/Miguel_Arteta
Dorothy Arzner,https://en.wikipedia.org/wiki/Dorothy_Arzner
Hal Ashby,https://en.wikipedia.org/wiki/Hal_Ashby
John Mallory Asher,https://en.wikipedia.org/wiki/John_Mallory_Asher
Olivier Assayas,https://en.wikipedia.org/wiki/Olivier_Assayas
Anthony Asquith,https://en.wikipedia.org/wiki/Anthony_Asquith
Carlos Atanes,https://en.wikipedia.org/wiki/Carlos_Atanes
Richard Attenborough,https://en.wikipedia.org/wiki/Richard_Attenborough
David Attwood,https://en.wikipedia.org/wiki/David_Attwood
Jacques Audiard,https://en.wikipedia.org/wiki/Jacques_Audiard
Jacqueline Audry,https://en.wikipedia.org/wiki/Jacqueline_Audry
Bille August,https://en.wikipedia.org/wiki/Bille_August
Claude Autant-Lara,https://en.wikipedia.org/wiki/Claude_Autant-Lara
Aram Avakian,https://en.wikipedia.org/wiki/Aram_Avakian
Roger Avary,https://en.wikipedia.org/wiki/Roger_Avary
Pupi Avati,https://en.wikipedia.org/wiki/Pupi_Avati
Tex Avery,https://en.wikipedia.org/wiki/Tex_Avery
Dan Aykroyd,https://en.wikipedia.org/wiki/Dan_Aykroyd
Nabil Ayouch,https://en.wikipedia.org/wiki/Nabil_Ayouch
Mary Ayubi,https://en.wikipedia.org/wiki/Mary_Ayubi
Suresh Bhardwaj,https://en.wikipedia.org/wiki/Suresh_Bhardwaj
Héctor Babenco,https://en.wikipedia.org/wiki/H%C3%A9ctor_Babenco
Lloyd Bacon,https://en.wikipedia.org/wiki/Lloyd_Bacon
John Badham,https://en.wikipedia.org/wiki/John_Badham
Bae Yong-Kyun,https://en.wikipedia.org/wiki/Bae_Yong-Kyun
Cindy Baer,https://en.wikipedia.org/wiki/Cindy_Baer
Prince Bagdasarian,https://en.wikipedia.org/wiki/Prince_Bagdasarian
King Baggot,https://en.wikipedia.org/wiki/King_Baggot
Stuart Baird,https://en.wikipedia.org/wiki/Stuart_Baird
Roy Ward Baker,https://en.wikipedia.org/wiki/Roy_Ward_Baker
Mohammad Bakri,https://en.wikipedia.org/wiki/Mohammad_Bakri
