Zoe Lister-Jones
Danièle Thompson
Gurinder Chadha
Elizabeth Ito
Patty Jenkins
Kirsten Tan
Maggie Surovell
Kasi Lemmons
Barbra Streisand
Melina Matsoukas
Christine Jeffs
Ashley McKenzie
Sarah Gavron
Lucrecia Martel
So Yong Kim
Courtney Hunt
Darnell Martin
Kathryn Bigelow
Randa Haines
Jazmín Stuart
Maud Alpi
Eliza Hittman
Carla Simón
Catherine Breillat
Betty Thomas
Jocelyn Moorhouse
Reed Morano
Aisling Walsh
Clio Barnard
Mary Lambert
Elisabeth Subrin
Valérie Müller
Caroline Deruas-Garrel
Gillian Armstrong
Penelope Spheeris
Cécile Telerman
Drew Barrymore
Stella Meghie
Lynne Ramsay
Sarah Polley
Ingrid Jungermann
Natalia Garagiola
Susanna White
Anne Zohra Berrached
Nicole Garcia
Jane Campion
Jess Teong
Janicza Bravo
Ivana Mladenovic
Katharina Wyss
Kate Chaplin
Lucia Aniello
Julie Taymor
Angelina Jolie
Sylvie Verheyde
Kimberly Peirce
Lisa Cholodenko
Leni Riefenstahl
Patricia Riggen
Lina Rodriguez
Carolin Von Petzholdt
Susanne Bier
Laura Mora Ortega
Mimi Leder
Rama Burshtein
Amanda Sthers
Sierra Pettengill
Niki Caro
Petra Biondina Volpe
Shu Shuen Tong
Soo-youn Lee
Gabriela Cowperthwaite
Zia Anger
Amy Seimetz
Josephine Decker
Isabel Coixet
Mary Harron
Jordan Scott
Bronwen Hughes
Dee Rees
Dominique Abel
Amma Asante
Anna Foerster
Lorene Scafaria
Naomi Kawase
Ralitza Petrova
Sophie Lellouche
Maren Ade
Nancy Meyers
Eleanor Coppola
Celia Rowlson-Hall
Debra Granik
Kirsten Johnson
Sharon Maguire
Nijla Mumin
Nora Ephron
Floria Sigismondi
Jessie Nelson
Sophia Takal
Juanita Wilson
Beata Gårdeler
Jodie Foster
Ashley Avis
Paula van der Oest
Dpyx
Ana Lily Amirpour
Yang-hee Kim
Lucile Hadzihalilovic
Sally Potter
Chloé Zhao
Julie Delpy
Tala Hadid
Heidi Hartwig
Lone Scherfig
Aoife McArdle
Alison Maclean
Tatiana Huezo
Lisa Azuelos
Martha Coolidge
Catherine Hardwicke
Maria Schrader
Anne Giafferi
Amber Sealey
Tamara Jenkins
Quinn Shephard
Karyn Kusama
Ildikó Enyedi
Sofia Coppola
Amy S. Weber
Anita Rocha da Silveira
Sara Forestier
Sudha Kongara
Jennifer Kent
Luc Bondy
Iram Haq
Gina Prince-Bythewood
Rebecca Zlotowski
Diana Galimzyanova
Antonia Bird
Klaudia Reynicke
Cali Lili
Penny Marshall
Sara Johnsen
Annika Berg
Greta Gerwig
Ava DuVernay
Sophia Cacciola
Kathleen Hepburn
Gillian Robespierre
Larysa Kondracki
Haifaa Al-Mansour
Anna Rose Holmer
Marielle Heller
Mira Nair
Anna Biller
Megan Freels Johnston
Julia Solomonoff
Amy Heckerling
Rima Das
Katherine Dieckmann
Lake Bell
Alice Winocour
Nancy Savoca
Jenna Cato Bass
Valerie Faris
Lynn Shelton
Rachel Goldberg
Kira Muratova
Kristen Stewart
Leni Riefenstahl
Catherine Hardwicke
Agnès Varda
Darya Zhuk
