uid,category,url
0,news,/news/rep-sheet-roundup-jennifer-esposito-911747
1,news,/news/study-women-make-up-29-percent-directors-festival-features-1110594
2,news,/news/edgar-wright-direct-london-based-psychological-horror-film-1177731
3,news,/features/how-melissa-mccarthy-stepped-julianne-moore-can-you-ever-forgive-me-1172472
4,news,/news/how-metoo-movement-is-changing-showbiz-culture-worldwide-1061349
5,news,/features/producer-roundtable-judd-apatow-amy-pascal-harvey-weinstein-perils-email-post-sony-hack-1053151
6,news,/news/hollywood-reporters-guide-2017-independent-spirit-awards-975707
7,news,/news/usc-study-diversity-movies-largely-unchanged-increased-awareness-1025336
8,news,/news/paul-feig-athena-film-festival-862393
9,news,/news/thailands-manta-ray-indias-bulbul-can-sing-top-mumbai-film-festival-awards-1157107
10,news,/features/director-sam-taylor-johnson-fifty-shades-set-battles-a-sexy-new-netflix-show-1013672
11,news,/news/tiff-programmers-how-toronto-is-leading-push-gender-parity-1140699
12,news,/news/tyrese-apologizes-sexist-message-women-bet-interview-ladies-you-deserve-better-994299
13,news,/news/box-office-preview-hunger-games-842017
14,news,/news/unreal-premiere-battle-sexes-post-added-athena-film-festival-2018-1083020
15,news,/news/theaters-weekend-reviews-magic-mike-806364
16,news,/news/hayao-miyazaki-receive-award-los-angeles-film-critics-1154423
17,news,/news/daniel-craig-katherine-heigl-joining-steven-soderberghs-logan-lucky-897669
18,news,/news/how-metoo-movement-could-kill-some-sexy-hollywood-movies-1073212
19,news,/news/david-gordon-green-at-tiff-822306
20,news,/news/sundance-director-list-founder-destri-858318
21,news,/news/weinstein-sale-talks-collapse-no-choice-but-pursue-bankruptcy-1088281
22,news,/news/nanni-morettis-santiago-italia-close-turin-film-festival-1145298
23,news,/news/spirit-awards-2019-10-see-things-not-shown-tv-1189632
24,news,/news/box-office-star-wars-beats-850414
25,news,/features/investigation-murder-sal-mineo-1169880
26,news,/news/philadelphia-screenwriter-reveals-how-film-changed-my-life-1165556
27,news,/news/sag-awards-2018-snubs-lady-bird-handmaids-tale-shut-1076823
28,news,/news/bridget-jones-baby-director-sharon-929408
29,news,/news/new-locarno-boss-lili-hinstin-why-festival-directors-make-diversity-a-priority-1137931
30,news,/news/academy-reveals-board-governors-2018-19-1120258
31,news,/news/tim-blake-nelson-coen-brothers-happened-hollywood-podcast-1172836
32,news,/features/how-focus-rediscovered-knack-making-award-winning-films-1162402
33,news,/news/academy-president-birth-a-nation-923012
34,news,/news/hamilton-director-thomas-kail-helm-wwii-female-pilots-movie-silver-wings-995454
35,news,/news/kkk-drama-burden-takes-top-prize-at-nantucket-film-fest-1123009
36,news,/news/scarlett-johansson-drops-trans-film-rub-tug-backlash-1127003
37,news,/news/private-life-director-tamara-jenkins-cast-talk-radically-feminine-film-sundance-2018-1076212
38,news,/features/jennifer-lawrence-interview-by-oprah-winfrey-1064576
39,news,/news/ang-lee-cynthia-nixon-honored-904292
40,news,/news/tate-taylor-direct-jessica-chastain-eve-director-backlash-1136011
41,news,/news/lights-premiere-star-teresa-palmer-912722
42,news,/news/viola-davis-star-steve-mcqueens-898719
43,news,/news/karlovy-vary-festival-otto-preminger-887602
44,news,/news/ghostbusters-fan-al-roker-reboot-910115
45,news,/news/disobedience-chesil-beach-female-leads-are-breaking-free-1108254
46,news,/news/exec-south-korean-film-festival-accused-sexual-misconduct-1083271
47,news,/news/afi-gets-350k-neh-grant-gender-parity-film-study-1197966
48,news,/news/oscars-7-summer-films-watch-815865
49,news,/news/dear-white-people-producer-effie-t-brown-sets-we-real-cool-feature-1161155
50,news,/news/deadpool-2-lands-june-2018-release-date-theaters-996562
51,news,/news/meryl-streep-oprah-winfrey-funded-writers-lab-selects-projects-1026760
52,news,/news/taormina-film-fest-awards-polish-drama-refugee-doc-winners-1129196
53,news,/news/berlin-ruby-rose-play-marine-doorman-1184202
54,news,/news/rep-sheet-roundup-black-klansman-scribes-sign-wme-1052769
55,news,/news/oscars-how-black-panther-can-win-best-picture-1160613
56,news,/news/godard-roeg-elvis-more-a-january-do-list-film-buffs-la-1172636
57,news,/news/national-board-review-2016-winners-951071
58,news,/news/box-office-star-wars-beats-853756
59,news,/news/diversity-asian-cinema-discussed-at-busan-film-festival-1149607
60,news,/news/alamo-hosts-slut-screenings-teen-comedy-slut-a-good-way-1193756
61,news,/news/hkiff-2019-renny-harlin-s-bodies-at-rest-selected-as-opening-film-1190687
62,news,/news/how-batman-returns-producer-transitioned-directors-chair-989446
63,news,/news/sandra-bullock-says-bird-box-depicts-a-new-kind-warrior-mother-1170362
64,news,/news/cannes-market-heats-up-at-midpoint-1111345
65,news,/news/cannes-2015-winners-announced-797340
66,news,/news/athena-film-festival-2018-lineup-1074218
67,news,/news/vietnam-mulls-5-second-rule-826869
68,news,/news/final-days-alexis-arquette-a-928507
69,news,/news/chicago-international-film-festival-complete-834427
70,news,/news/favourite-leads-vancouver-film-critics-circle-awards-nominations-1169507
71,news,/news/oscars-a-female-muslim-teen-becomes-radicalized-netherlands-layla-m-1063252
72,news,/news/jessica-chastain-reveals-how-tom-cruise-saved-zero-dark-thirty-990659
73,news,/news/heather-grahams-directorial-debut-sends-up-sexist-hollywood-1086517
74,news,/news/cannes-uk-industry-targets-gender-894246
75,news,/news/hasbro-ceo-transformers-future-marketing-my-little-pony-boys-1012852
76,news,/news/student-academy-award-winners-pick-837888
77,news,/news/cannes-nicole-kidman-pushes-more-female-directors-at-beguiled-press-conference-1007093
78,news,/news/systemic-change-project-names-alison-909985
79,news,/news/barbara-hale-dead-perry-mason-893891
80,news,/news/mulleavy-sisters-debut-first-film-at-woodshock-premiere-1041360
81,news,/news/hidden-figures-lands-capitol-hill-screening-as-oscar-voting-begins-975279
82,news,/news/icm-partners-appoints-lorrie-bartlett-board-directors-1175649
83,news,/news/weekend-box-office-girl-on-train-birth-of-nation-936292
84,news,/features/tiffany-haddish-new-queen-comedy-has-a-crazy-story-you-1119446
85,news,/news/lulu-wang-nisha-ganatra-discuss-4-challenge-at-sundance-1179815
86,news,/news/actresses-detail-groping-simulated-rape-audition-ashley-judd-sex-trafficking-film-1063731
87,news,/news/dustin-hoffmans-director-responds-set-harassment-claim-1054800
88,news,/news/sundance-i-dont-feel-at-home-world-anymore-takes-top-prize-969605
89,news,/news/brie-larson-make-directorial-debut-unicorn-store-comedy-917480
90,news,/news/all-nina-free-screenings-director-star-organize-support-sexual-abuse-survivors-1147998
91,news,/news/spirit-awards-best-director-winner-barry-jenkins-calls-hollywood-hire-more-female-directors-1189592
92,news,/news/robert-de-niro-at-hollywood-film-awards-vote-hillary-944643
93,news,/news/stx-film-chief-adam-fogelson-812978
94,news,/news/afm-covert-media-plans-ya-adaptation-need-female-writer-director-team-942704
95,news,/news/warner-bros-film-chief-toby-emmerich-assumes-solo-duties-at-cinemacon-1105565
96,news,/news/ava-duvernay-advocating-female-directors-840942
97,news,/news/tribeca-chanel-recruit-courteney-cox-lena-dunham-filmmaker-program-1151497
98,news,/news/steven-spielberg-times-up-is-more-important-any-us-can-ever-realize-1095417
99,news,/news/mumbai-festival-reveals-lineup-1151476
100,news,/news/venice-vivian-qu-directs-a-modern-day-chinese-noir-angels-wear-white-clip-1035854
101,news,/news/golden-eagles-awards-2019-winners-full-list-1179307
102,news,/news/protesters-at-michael-jackson-doc-leaving-neverland-sundance-premiere-1179134
103,news,/news/universal-becomes-first-studio-accept-4-percent-challenge-1180949
104,news,/news/keira-knightley-hopes-hunger-strong-female-voices-produces-change-tiff-2018-1141775
105,news,/news/oscars-fauve-marguerite-land-two-nominations-canada-1177982
106,news,/news/sydney-film-festival-unveils-lineup-892686
107,news,/news/producer-denise-di-novi-make-800376
108,news,/news/greta-gerwig-learning-direct-you-have-make-leap-director-roundtable-1066398
109,news,/news/canada-bankrolling-more-female-directors-873546
110,news,/news/sia-stacy-martin-headline-miu-818674
111,news,/news/universal-chairman-donna-langley-talks-939567
112,news,/news/carrie-fisher-dead-harrison-ford-mark-hamill-hollywood-friends-mourn-iconic-star-wars-actress-9
113,news,/news/ghostbusters-top-gun-enter-national-849092
114,news,/news/license-drive-remake-works-at-fox-1029786
115,news,/news/helen-hunt-exits-caa-uta-1102281
