uid,category,url
0,news,/news/study-women-make-up-29-percent-directors-festival-features-1110594
1,news,/news/mr-rogers-is-advocate-civility-we-need-says-doc-director-1159753
2,news,/news/lenny-kravitz-returns-caa-10-months-at-uta-1158869
3,news,/news/why-nba-star-fronted-films-are-a-long-shot-1121371
4,news,/features/drakes-hotline-hollywood-inside-an-ambitious-push-film-tv-1055765
5,news,/news/marcia-clark-ron-howard-celebrate-oj-made-america-at-pre-golden-globes-party-961915
6,news,/news/how-metoo-movement-is-changing-showbiz-culture-worldwide-1061349
7,news,/news/kim-masters-sid-sheinberg-tough-mogul-behind-a-megatalent-1193997
8,news,/news/tribeca-disruptive-innovation-awards-2016-880398
9,news,/news/harvey-weinstein-blasts-new-york-times-investigation-first-post-scandal-interview-1046369
10,news,/news/gita-hall-dead-gun-runners-920187
11,news,/news/afi-president-emerita-talks-misogyny-hollywood-1049946
12,news,/news/tiff-programmers-how-toronto-is-leading-push-gender-parity-1140699
13,news,/features/director-sam-taylor-johnson-fifty-shades-set-battles-a-sexy-new-netflix-show-1013672
14,news,/news/nicole-kidman-similarities-between-roles-boy-erased-destroyer-watch-1164581
15,news,/news/tony-hawk-says-minding-gap-is-brutally-honest-guest-column-1187479
16,news,/news/youtube-artist-rapman-sets-feature-film-blue-story-paramount-bbc-1191380
17,news,/news/darren-aronofskys-spheres-is-first-vr-film-at-telluride-film-festival-1138714
18,news,/news/butch-cassidy-sundance-kid-review-1969-movie-743856
19,news,/news/breaking-down-oscars-documentary-feature-shortlist-1172705
20,news,/news/daisy-ridley-talks-instant-fame-tears-up-remembering-carrie-fisher-1047721
21,news,/news/cannes-colombian-helmer-explores-lost-796564
22,news,/news/oscars-producer-michael-de-luca-keeping-show-moving-whats-next-fifty-shades-977077
23,news,/features/jack-antonoff-kesha-tim-mcgraw-more-thr-songwriter-roundtable-1162368
24,news,/news/berlin-rita-hayworth-a-hand-865308
25,news,/news/taken-3-what-critics-are-761213
26,news,/features/lost-love-letters-vivien-leigh-laurence-olivier-1042883
27,news,/news/amy-schumer-signs-manager-guy-833131
