uid,category,url
0,news,/news/study-women-make-up-29-percent-directors-festival-features-1110594
1,news,/news/lionsgate-founder-condemns-us-family-separations-as-fear-based-1129349
2,news,/news/chiles-oscar-winner-a-fantastic-woman-galvanizes-support-transgender-legislation-back-home-1092620
3,news,/features/drakes-hotline-hollywood-inside-an-ambitious-push-film-tv-1055765
4,news,/news/tiff-marc-forsters-all-i-925953
5,news,/features/how-melissa-mccarthy-stepped-julianne-moore-can-you-ever-forgive-me-1172472
6,news,/news/how-metoo-movement-is-changing-showbiz-culture-worldwide-1061349
7,news,/news/daniel-craig-halle-berry-riots-908267
8,news,/news/feng-xiaogang-cameo-as-is-purest-white-ny-film-fest-screening-1148460
9,news,/news/usc-study-diversity-movies-largely-unchanged-increased-awareness-1025336
10,news,/news/ryan-reynolds-oscars-bias-comedy-embodying-his-alter-ego-deadpool-was-destiny-q-a-947627
11,news,/news/afi-president-emerita-talks-misogyny-hollywood-1049946
12,news,/news/tiff-programmers-how-toronto-is-leading-push-gender-parity-1140699
13,news,/features/director-sam-taylor-johnson-fifty-shades-set-battles-a-sexy-new-netflix-show-1013672
14,news,/news/nate-parkers-path-forgiveness-how-920520
15,news,/news/how-cinestate-film-studio-is-turning-controversial-topics-revenue-1178338
16,news,/news/breaking-down-oscars-documentary-feature-shortlist-1172705
17,news,/news/unreal-premiere-battle-sexes-post-added-athena-film-festival-2018-1083020
18,news,/news/golden-globes-shape-water-rises-top-1066146
19,news,/news/igmar-bergman-doc-new-films-bi-gan-san-sebastian-line-up-1136624
20,news,/news/what-movies-are-week-atomic-blonde-emoji-movie-more-1024360
21,news,/news/hayao-miyazaki-receive-award-los-angeles-film-critics-1154423
22,news,/features/lost-love-letters-vivien-leigh-laurence-olivier-1042883
23,news,/news/lee-daniels-talks-being-beaten-up-discovering-he-was-gay-989515
24,news,/news/how-metoo-movement-could-kill-some-sexy-hollywood-movies-1073212
25,news,/news/oscars-kosovo-selects-unwanted-foreign-language-category-1038462
26,news,/news/tom-sizemore-was-removed-movie-set-allegedly-violating-11-year-old-girl-1057629
27,news,/news/sydney-festival-sofia-coppola-s-beguiled-raoul-peck-s-i-am-not-a-negro-line-up-competition-1002095
28,news,/news/lady-gaga-sean-penn-honor-bradley-cooper-at-american-cinematheque-gala-1165182
29,news,/news/fan-bingbing-scandal-widens-as-famed-director-is-cut-high-profile-film-1144866
30,news,/features/investigation-murder-sal-mineo-1169880
31,news,/news/5-ways-brexit-could-change-filmmaking-eastern-europe-1004563
32,news,/features/screenwriting-is-a-bastardized-form-writer-roundtable-1160626
33,news,/features/how-awkwafina-went-viral-vagina-video-movies-snl-host-1158458
34,news,/news/weekend-box-office-it-devours-jennifer-lawrences-mother-60m-1039986
35,news,/news/jennifer-lawrence-teaming-adam-mckay-901277
36,news,/news/new-locarno-boss-lili-hinstin-why-festival-directors-make-diversity-a-priority-1137931
37,news,/news/alfonso-cuaron-real-problems-challenging-mexico-1176331
38,news,/news/golden-globes-la-la-land-moonlight-manchester-by-sea-top-film-nominees-955162
39,news,/news/elisabeth-moss-barry-jenkins-coen-brothers-movies-join-nyff-2018-lineup-1132694
40,news,/news/academy-president-birth-a-nation-923012
41,news,/news/aquaman-mary-poppins-a-cinemacon-2018-sneak-preview-1104840
42,news,/news/munich-film-festival-honors-bryan-cranston-lifetime-achievement-award-1016523
43,news,/news/rep-sheet-roundup-dee-rees-signs-anonymous-content-1079072
44,news,/news/private-life-director-tamara-jenkins-cast-talk-radically-feminine-film-sundance-2018-1076212
45,news,/features/jennifer-lawrence-interview-by-oprah-winfrey-1064576
46,news,/news/ang-lee-cynthia-nixon-honored-904292
