uid,category,url
0,news,/news/producers-guild-honor-ava-duvernay-visionary-award-1065620
1,news,/news/cannes-indias-vasan-bala-peddlers-326961
2,news,/news/venice-weinstein-snaps-up-us-619069
3,news,/news/reviews-birth-a-nation-girl-935067
4,news,/news/goodbye-christopher-robin-three-billboards-added-hamptons-film-festival-2017-1038227
5,news,/news/robert-pattinson-twilight-elephants-181195
6,news,/features/why-tony-nominee-glenda-jackson-wants-knock-doors-new-york-governor-candidate-cynthia-nixon-1111903
7,news,/news/study-women-make-up-29-percent-directors-festival-features-1110594
8,news,/news/lenny-kravitz-returns-caa-10-months-at-uta-1158869
9,news,/features/drakes-hotline-hollywood-inside-an-ambitious-push-film-tv-1055765
10,news,/news/luang-prabang-film-fest-shines-665850
11,news,/news/film-reporter-82903
12,news,/news/todd-mccarthys-cannes-preview-american-877068
13,news,/news/speaking-oscars-language-119536
14,news,/news/karlovy-vary-unveils-competition-lineup-114377
15,news,/features/producer-mark-gordon-losing-an-oscar-harvey-weinstein-why-a-scary-time-movies-1049425
16,news,/news/how-metoo-movement-is-changing-showbiz-culture-worldwide-1061349
17,news,/news/lindsay-lohan-calls-victoria-gotti-177477
18,news,/news/sherlyn-chopra-becomes-first-indian-356336
19,news,/news/2016-tribeca-film-festival-lineup-872107
20,news,/news/fisher-aims-at-fisher-witty-127526
21,news,/news/sundance-film-festival-unveils-2014-662009
22,news,/news/tim-hetherington-remembered-by-restrepo-181181
23,news,/news/girl-train-tate-taylor-lisa-936416
24,news,/news/tales-jennifer-fox-laura-rister-making-a-challenging-memoir-film-1077269
25,news,/news/harvey-weinstein-blasts-new-york-times-investigation-first-post-scandal-interview-1046369
26,news,/news/punk-rocker-lovato-freed-fatal-132983
27,news,/news/pat-kingsley-finally-talks-tom-664535
28,news,/features/thrs-first-ever-live-roundtable-6-stars-harassment-nude-scenes-people-they-despise-1069149
29,news,/news/tiff-programmers-how-toronto-is-leading-push-gender-parity-1140699
30,news,/news/afi-president-emerita-talks-misogyny-hollywood-1049946
31,news,/features/woody-harrelson-how-he-went-anonymous-poor-supervillain-1019913
32,news,/features/director-sam-taylor-johnson-fifty-shades-set-battles-a-sexy-new-netflix-show-1013672
33,news,/news/thrs-kim-masters-man-who-808548
34,news,/news/judge-rejects-spector-plea-trial-146263
35,news,/features/making-neruda-how-a-biopic-a-chilean-communist-poet-completely-turned-genre-head-944307
36,news,/news/berlin-audience-award-lemon-tree-105058
37,news,/news/how-costume-designers-trumbo-joy-851604
38,news,/news/shooting-range-155934
39,news,/news/breaking-down-oscars-documentary-feature-shortlist-1172705
40,news,/news/amy-winehouse-shows-at-ivor-112437
41,news,/news/family-gathers-natasha-richardson-80922
42,news,/news/rambling-reporter-149899
43,news,/news/fresh-start-at-sundance-144719
44,news,/news/sundance-film-festival-unveils-2014-664644
45,news,/features/jack-antonoff-kesha-tim-mcgraw-more-thr-songwriter-roundtable-1162368
46,news,/news/carons-creativity-finds-an-emmy-149855
47,news,/news/denzel-washington-talks-training-days-824644
48,news,/news/frears-breaks-his-silence-136507
49,news,/news/selena-gomez-celebrates-spring-breakers-429047
50,news,/features/casey-affleck-andrew-garfield-4-others-discuss-acting-challenges-950986
51,news,/news/hollywood-reporter-rebirth-turns-5-841094
52,news,/features/lost-love-letters-vivien-leigh-laurence-olivier-1042883
53,news,/news/oscar-icons-trailblazer-293360
54,news,/news/how-metoo-movement-could-kill-some-sexy-hollywood-movies-1073212
55,news,/news/tom-sizemore-was-removed-movie-set-allegedly-violating-11-year-old-girl-1057629
56,news,/news/sundance-director-list-founder-destri-858318
57,news,/news/destroyer-helmer-karyn-kusama-defying-female-director-label-1165244
58,news,/news/stroke-lucky-fetters-81627
59,news,/news/key-art-awards-2012-frank-ockenfels-3-dawn-baille-3378409
60,news,/news/film-reporter-149542
61,news,/news/sundance-edgar-wright-cary-fukunaga-759339
62,news,/features/investigation-murder-sal-mineo-1169880
63,news,/news/sundance-reveals-noncompetition-lineup-91970
64,news,/features/screenwriting-is-a-bastardized-form-writer-roundtable-1160626
65,news,/news/box-office-war-planet-apes-scares-spider-man-homecoming-565m-1021569
66,news,/news/hollywood-job-envy-entertainments-powerful-reveal-who-theyd-trade-places-a-day-1016742
67,news,/features/how-awkwafina-went-viral-vagina-video-movies-snl-host-1158458
68,news,/news/amy-schumer-talks-friend-aziz-ansaris-sexual-misconduct-claim-1080874
69,news,/features/austin-powers-definitive-oral-history-mike-myers-jay-roach-more-reveal-secrets-997139
70,news,/news/women-film-fight-power-332876
71,news,/news/celebrity-photographer-irving-penn-dies-89772
72,news,/news/year-french-film-isabelle-huppert-k-stew-paris-depicting-terrorism-more-957717
73,news,/news/festival-lineup-23338
74,news,/news/sixty-still-something-136421
75,news,/features/director-roundtable-spike-lee-bradley-cooper-ryan-coogler-more-1169111
76,news,/news/george-clooney-meghan-markle-chased-by-media-like-princess-diana-1186215
77,news,/news/luc-besson-considers-cutting-short-651155
78,news,/features/lady-gaga-nicole-kidman-regina-king-rachel-weisz-at-actress-roundtable-1164255
79,news,/news/woman-gold-premiere-cast-subjects-785527
80,news,/news/nancy-meyers-daughter-was-born-direct-reese-witherspoons-home-again-1031540
81,news,/news/joan-rivers-dead-legendary-comedienne-728845
82,news,/news/oscar-party-diary-inside-weeks-684372
83,news,/news/beverly-wilshire-executive-remembers-garry-913420
84,news,/news/elisabeth-moss-barry-jenkins-coen-brothers-movies-join-nyff-2018-lineup-1132694
85,news,/news/2012-key-art-awards-winners-379742
86,news,/news/fans-flock-bookstores-final-potter-144278
87,news,/news/westport-tome-playhouse-is-thing-140485
88,news,/news/box-office-preview-war-planet-apes-battle-spider-man-1020552
89,news,/news/private-life-director-tamara-jenkins-cast-talk-radically-feminine-film-sundance-2018-1076212
90,news,/features/jennifer-lawrence-interview-by-oprah-winfrey-1064576
91,news,/news/paradise-trilogy-director-ulrich-seidl-431562
92,news,/news/paparazzo-profited-locklear-arrest-120262
93,news,/news/eleanor-coppola-opens-up-directing-925607
94,news,/news/tessa-thompson-working-first-time-directors-im-happy-get-them-as-early-as-1165883
95,news,/news/how-afi-cracked-glass-ceiling-women-directors-1974-1045407
96,news,/news/how-bacall-bogie-hawks-turned-725438
97,news,/news/making-j-edgar-eastwood-dicaprio-256093
98,news,/news/alexandria-ocasio-cortez-cancels-sundance-appearance-due-government-shutdown-1179532
99,news,/news/rambling-reporter-140565
100,news,/news/jennifer-lawrence-call-me-by-your-name-director-partnering-true-crime-feature-1066940
101,news,/news/melissa-mccarthy-went-dark-places-can-you-ever-forgive-me-1139165
102,news,/news/n-koreans-shoot-risky-secret-108595
103,news,/news/theory-everything-felicity-jones-janes-747229
104,news,/news/moonlight-producer-planning-hong-kong-set-thriller-985958
105,news,/features/elton-johns-oscar-party-turns-25
106,news,/news/ann-zane-shanks-dead-photojournalist-796172
107,news,/news/michael-moores-roger-me-enters-666357
108,news,/news/tribeca-unveil-burns-workman-premieres-21624
109,news,/news/trio-hankering-crave-90516
110,news,/news/sundance-why-ruth-bader-ginsburg-could-be-toast-fest-1075164
111,news,/news/why-salma-hayek-believes-her-work-women-hollywood-is-finally-paying-watch-tiff-2018-1140113
112,news,/news/cannes-2015-anticipated-movies-inside-795120
113,news,/news/batman-v-superman-married-creative-874799
114,news,/news/rambling-reporter-127525
115,news,/news/is-reed-morano-next-star-wars-director-1075060
116,news,/news/taiwan-tv-airs-first-gay-689567
117,news,/news/ghosts-girlfriends-82960
118,news,/news/michael-cimino-full-uncensored-hollywood-778288
119,news,/news/thrs-agent-roundtable-6-top-398066
120,news,/features/loving-relevant-movie-election-season-939253
121,news,/news/hollywoods-powerful-women-pose-mentors-664859
122,news,/features/mahershala-ali-timothee-chalamet-more-at-actor-roundtable-1165878
123,news,/news/lake-mungo-film-review-120340
124,news,/news/harvey-weinstein-steve-coogan-toast-668738
125,news,/news/jolies-guards-scuffle-parents-india-143583
126,news,/news/qampa-apichatpong-weerasethakul-23765
127,news,/news/annette-bening-interview-identifying-virginia-woolf-insecurity-964741
128,news,/news/oscars-foreign-language-nominees-poland-771021
129,news,/news/protesters-india-burn-effigies-gere-134151
130,news,/news/gavin-polone-a-dogs-purpose-outcry-what-happened-whos-blame-967160
131,news,/news/jennifer-hudson-wins-big-image-79276
132,news,/news/nickys-family-thrs-kim-masters-586227
133,news,/news/oscar-bait-275113
134,news,/features/actress-roundtable-jennifer-lawrence-emma-stone-top-stars-harassment-hollywood-ideas-industry-change-1058091
135,news,/features/la-la-land-unrealistic-hollywood-dream-critical-acclaim-942793
136,news,/news/women-filmmakers-stake-turf-336302
137,news,/news/box-office-war-planet-apes-beating-spider-man-homecoming-1021303
138,news,/news/sundance-shorts-lineup-includes-jason-846908
139,news,/news/johnny-depps-richard-says-goodbye-fills-cast-1024133
140,news,/news/magnificent-seven-producer-why-westerns-925593
141,news,/news/tricks-treats-155376
142,news,/news/a-flash-144675
143,news,/news/tom-hanks-wouldnt-screen-post-at-white-house-decries-attacks-first-amendment-1066846
144,news,/features/politics-roma-alfonso-cuaron-revisits-mexicos-turbulent-history-1176330
145,news,/news/five-dustin-hoffman-accusers-tell-harrowing-stories-sexually-predatory-behavior-1055544
146,news,/news/qampa-mathieu-amalric-23451
147,news,/news/berlin-completes-competition-lineup-adds-764649
148,news,/news/maria-by-callas-director-says-film-objectively-depicts-opera-singer-1054607
149,news,/features/amber-heard-aquaman-elon-musk-dedication-activism-1166004
150,news,/news/meet-alibabas-woman-mystery-los-749872
151,news,/news/divergent-author-veronica-roth-her-685844
152,news,/news/obituaries-132948
153,news,/features/actress-roundtable-emma-stone-natalie-portman-taraji-p-henson-4
154,news,/news/heather-grahams-directorial-debut-sends-up-sexist-hollywood-1086517
155,news,/news/80-moments-hollywood-entertainment-capital-67780
156,news,/news/jennifer-lopez-directing-comedy-world-dance-interview-1114022
157,news,/news/team-behind-hornets-nest-doc-805922
158,news,/news/bond-girl-caterina-murino-ingrid-betancourt-279969
159,news,/news/tim-roth-invites-you-join-him-at-a-vivian-maier-exhibition-1021356
160,news,/news/lady-gaga-feels-like-shes-still-recovering-a-star-is-born-watch-1164500
161,news,/features/paramounts-jim-gianopulos-starting-his-fox-exit-reviving-a-struggling-studio-1015023
162,news,/news/rob-reiner-lbj-bob-igers-presidential-prospects-sharing-an-office-floor-steve-bannon-1051263
163,news,/news/mulleavy-sisters-debut-first-film-at-woodshock-premiere-1041360
164,news,/news/anime-director-mamoru-hosoda-drawing-by-hand-industry-post-hayao-miyazaki-q-a-942844
165,news,/news/viola-davis-proclaims-i-cannot-lead-bull-thr-wie-2018-1166333
166,news,/news/foxs-emma-watts-x-men-714164
167,news,/news/photography-sam-shaw-75208
168,news,/news/kate-winslet-portray-iconic-photographer-831886
169,news,/news/jill-messicks-family-issues-blistering-statement-harvey-weinstein-rose-mcgowan-1083173
170,news,/news/nymph-film-review-84560
171,news,/news/sundance-filmmakers-neuroscientists-talk-predictive-data-marketing-at-thr-viacom-panel-1076169
172,news,/news/sundance-bryan-singer-leonard-maltin-669691
173,news,/news/weekend-box-office-girl-on-train-birth-of-nation-936292
174,news,/news/oscars-2015-oprah-winfrey-jason-775425
175,news,/features/tiffany-haddish-new-queen-comedy-has-a-crazy-story-you-1119446
176,news,/news/american-hustle-director-david-o-676880
177,news,/news/sundance-2013-festival-unveils-2-396678
178,news,/news/sundance-preview-john-hawkes-stars-671646
179,news,/news/robert-downey-jr-producer-wife-737108
180,news,/news/sweet-cinema-key-credits-roberts-152431
181,news,/news/ken-burns-reveals-details-his-783578
182,news,/news/sundance-i-dont-feel-at-home-world-anymore-takes-top-prize-969605
183,news,/features/they-got-wrong-envelope-oral-history-oscars-epic-best-picture-fiasco-1087829
184,news,/news/telluride-wrap-ethan-hawke-documentary-729657
185,news,/news/cannes-picassos-muse-claims-brigitte-705052
186,news,/news/berlin-pathe-picks-up-paul-verhoevens-blessed-virgin-france-1085469
187,news,/news/qampa-apichatpong-weerasethakul-23913
188,news,/news/debbie-reynolds-dead-hollywood-mourns-actress-carrie-fishers-mother-959703
189,news,/news/zac-efron-the-lucky-one-reviews-taylor-schilling-314625
190,news,/features/a-united-kingdom-david-oyelowo-rosamund-pike-trump-brexit-protests-prejudice-974543
191,news,/features/at-home-george-clooney-italy-amal-twins-politics-an-incendiary-new-movie-1035363
192,news,/news/sundance-screenwriters-lab-unveils-15-writers-will-support-956906
193,news,/news/will-hilton-turn-philanthropist-140310
194,news,/news/athena-film-festival-award-winners-771222
195,news,/features/hidden-figures-oscar-nominated-director-theodore-melfi-shares-backstory-972806
196,news,/news/michele-carey-dead-actress-el-dorado-elvis-presleys-live-a-little-love-a-little-was-75-1165889
197,news,/news/brit-marling-says-harvey-weinstein-suggested-we-shower-together-1051206
198,news,/news/magnificent-seven-how-antoine-fuqua-925605
199,news,/features/shaquille-o-neal-who-am-i-say-no-hollywood-1121541
200,news,/news/jane-fonda-remembers-michael-jackson-831913
201,news,/news/look-spy-cam-footage-looks-151075
202,news,/news/lionsgate-plays-cross-platform-card-32338
203,news,/news/rough-nights-comedy-couple-tackling-men-genre-1012891
204,news,/news/crazy-rich-asians-reviews-are-glowing-a-few-nitpicks-1133366
205,news,/news/a-legacy-passion-a-legacy-135018
206,news,/news/playing-gangsters-require-a-deft-101955
207,news,/news/diversity-reigns-at-hollywood-film-awards-1158063
208,news,/news/alana-mayo-how-millennials-are-effecting-change-hollywood-1165248
209,news,/news/evan-rachel-wood-wins-best-performance-at-whistler-film-festival-1063808
210,news,/news/delirious-examines-what-makes-paparazzi-148015
211,news,/news/wide-range-views-fortnight-sked-135461
212,news,/news/vice-reviews-critics-dick-cheney-film-starring-christian-bale-1170063
213,news,/news/oscars-2018-inside-references-explained-carmine-caridi-black-panther-hal-janney-brian-roberts-ase-ha-1093224
214,news,/news/trump-ally-roger-stone-claims-huma-abedin-collected-damaging-material-clintons-994025
215,news,/news/oscar-watch-dressing-part-77210
216,news,/news/sundance-filmmakers-talk-technologys-influence-nonfiction-stories-at-thr-cnn-panel-1076334
217,news,/features/ronan-farrow-hollywood-prince-who-torched-castle-1073405
218,news,/features/emily-blunt-girl-train-author-933239
219,news,/features/brie-larsons-20-year-climb-857011
220,news,/news/zac-efrons-lucky-one-hit-228357
221,news,/news/smith-photos-revive-bahamas-scandal-130029
222,news,/news/a-thousand-times-good-night-725988
223,news,/news/sophia-loren-hollywood-women-dont-834692
224,news,/news/ghostbusters-top-gun-enter-national-849092
225,news,/news/melissa-mccarthy-mike-molly-bridesmaids-240899
226,news,/features/spike-lee-talks-black-klansman-movie-why-he-regrets-rape-scene-shes-gotta-have-it-1059729
227,news,/news/debra-granik-anne-rossellini-winters-96526
228,news,/news/sisters-brothers-actor-producer-john-c-reilly-q-a-2018-tiff-1141156
229,news,/news/indias-legendary-actor-pran-dies-584941
230,news,/news/lena-dunham-mother-laurie-simmons-my-art-film-venice-festival-925645
231,news,/news/fake-marriage-case-pinup-girl-418730
232,news,/news/annette-bening-honored-at-afis-20th-century-woman-premiere-948374
233,news,/news/why-tim-hetherington-risked-his-181568
234,news,/news/anya-taylor-joy-star-jane-austen-adaptation-emma-1155172
235,news,/news/oscars-real-stories-behind-6-755433
236,news,/news/distribution-key-getting-david-theaters-144227
237,news,/news/handmaids-tale-director-reed-morano-tapped-direct-anne-frank-drama-1098239
238,news,/news/box-office-mummy-buried-by-wonder-woman-1012204
239,news,/news/vitalii-sediuk-breaks-silence-kim-736054
240,news,/news/lionsgate-marketing-guru-branding-hunger-836251
241,news,/news/private-life-a-superstar-290667
242,news,/news/emma-roberts-horror-film-february-821608
243,news,/news/cannes-lineup-blends-playful-provocative-111282
244,news,/news/sundances-2009-noncompetitive-lineup-123901
245,news,/news/antonioni-origins-pop-exhibition-review-788611
246,news,/news/tiff-robert-forster-says-he-got-his-big-acting-break-thanks-a-thr-review-1142025
247,news,/news/gabors-husband-found-naked-car-145389
248,news,/news/new-dustin-hoffman-accuser-claims-harassment-physical-violation-broadway-guest-column-1062349
249,news,/news/khandahar-restored-cannes-classics-23628
250,news,/news/amy-schumers-trainwreck-tilda-swintons-809632
251,news,/news/hilary-swank-why-hollywood-still-749463
252,news,/news/american-film-institute-honor-cinematographer-rachel-morrison-1106173
253,news,/news/missing-headline-112077
254,news,/news/weekend-box-office-justice-league-opens-dismal-96m-wonder-amazes-1059808
255,news,/features/director-roundtable-mel-gibson-denzel-washington-4
256,news,/news/stephen-galloway-hollywoods-culture-abuse-helped-harvey-weinstein-thrive-1051014
257,news,/news/impressionism-81371
258,news,/news/beverly-hills-fest-picks-winners-109318
259,news,/news/brian-tyree-henry-feeling-a-responsibility-represent-black-characters-1160019
260,news,/news/cannes-2015-festival-stumbles-flatgate-796747
261,news,/news/why-hells-angels-threatened-kill-roger-corman-1000052
262,news,/news/street-artist-targets-al-franken-altered-greatest-showman-billboard-1062925
263,news,/news/box-office-wonder-woman-crushing-mummy-1011815
264,news,/news/sixty-still-something-136361
265,news,/news/how-a-hollywood-studio-got-away-rape-1937-1057432
266,news,/news/oscar-parties-2015-complete-guide-772506
267,news,/news/south-koreas-youngjoo-suh-building-finecut-a-total-agency-1184344
