uid,category,url
0,news,/news/weekly-international-news-wrap-avengers-murdoch-the-avengers-dark-knight-rises-317353
1,news,/news/maleficent-movie-screenwriter-cried-writing-708353
2,news,/news/cannes-film-festival-paul-schrader-ballerina-326032
3,news,/news/nyus-black-list-inspired-purple-792400
4,news,/news/study-women-make-up-29-percent-directors-festival-features-1110594
5,news,/news/tribeca-film-festival-lineup-chris-colfer-felicity-jones-297767
6,news,/features/how-melissa-mccarthy-stepped-julianne-moore-can-you-ever-forgive-me-1172472
7,news,/news/lindsay-lohan-calls-victoria-gotti-177477
8,news,/news/controversial-alone-not-alone-be-694319
9,news,/news/comedy-hes-fing-perfect-picked-251431
10,news,/news/ryan-reynolds-oscars-bias-comedy-embodying-his-alter-ego-deadpool-was-destiny-q-a-947627
11,news,/news/entourage-movie-set-visit-viking-790973
12,news,/news/tiff-programmers-how-toronto-is-leading-push-gender-parity-1140699
13,news,/news/nate-parkers-path-forgiveness-how-920520
14,news,/features/why-aaron-sorkin-wont-dish-leonardo-dicaprio-ben-affleck-his-real-life-gambling-drama-mollys-game-878142
15,news,/news/toronto-paul-haggis-reveals-his-623770
16,news,/news/bollywood-gets-political-indian-election-698636
17,news,/news/fox-international-channels-produce-chinese-835979
18,news,/news/how-cinestate-film-studio-is-turning-controversial-topics-revenue-1178338
19,news,/news/love-time-cholera-67824
20,news,/news/imperative-picks-up-female-fronted-thriller-alice-1135122
21,news,/news/hugh-grant-marc-lawrence-rewrite-772715
22,news,/news/unreal-premiere-battle-sexes-post-added-athena-film-festival-2018-1083020
23,news,/news/2014-black-list-announced-757571
24,news,/news/lima-film-festivals-top-prize-225133
25,news,/news/sundance-film-festival-unveils-2014-664644
26,news,/features/jack-antonoff-kesha-tim-mcgraw-more-thr-songwriter-roundtable-1162368
27,news,/news/expendables-tops-weekend-bo-35-26680
28,news,/news/pat-renella-bullitt-mannix-dies-396166
29,news,/news/toronto-2012-film-veterans-launch-368659
30,news,/news/lee-daniels-talks-being-beaten-up-discovering-he-was-gay-989515
31,news,/news/berlin-2012-momentum-pictures-frankensteins-army-288444
32,news,/news/how-metoo-movement-could-kill-some-sexy-hollywood-movies-1073212
33,news,/news/charlize-theron-gillian-flynn-dark-811392
34,news,/news/how-horror-meister-rob-zombie-806921
35,news,/news/sydney-festival-sofia-coppola-s-beguiled-raoul-peck-s-i-am-not-a-negro-line-up-competition-1002095
36,news,/news/sundance-director-list-founder-destri-858318
37,news,/news/alfonso-cuaron-how-angelina-jolie-681003
38,news,/news/tribeca-2013-russell-crowe-john-426078
39,news,/news/lady-gaga-sean-penn-honor-bradley-cooper-at-american-cinematheque-gala-1165182
40,news,/features/screenwriting-is-a-bastardized-form-writer-roundtable-1160626
41,news,/news/weekend-box-office-it-devours-jennifer-lawrences-mother-60m-1039986
42,news,/news/golden-globes-la-la-land-moonlight-manchester-by-sea-top-film-nominees-955162
43,news,/news/carrie-fishers-5-iconic-roles-227244
44,news,/news/elisabeth-moss-barry-jenkins-coen-brothers-movies-join-nyff-2018-lineup-1132694
45,news,/news/academy-president-birth-a-nation-923012
46,news,/news/sundance-2015-competition-lineup-753601
47,news,/news/cannes-2015-director-hirokazu-koreeda-795290
48,news,/features/jennifer-lawrence-interview-by-oprah-winfrey-1064576
49,news,/features/hollywood-celebrities-honor-orlando-victims-906926
50,news,/news/hunger-games-elizabeth-banks-surrender-dorothy-kevin-dinovis-316528
51,news,/news/how-bacall-bogie-hawks-turned-725438
