uid,category,url
0,news,/news/spirit-awards-richard-e-grant-gives-tearful-speech-best-supporting-male-win-1189433
1,news,/news/rashida-jones-black-women-metoo-times-up-movements-1197403
2,news,/news/mile-22-premiere-mark-wahlberg-peter-berg-talk-making-a-broad-appeal-action-movie-1134083
3,news,/news/study-women-make-up-29-percent-directors-festival-features-1110594
4,news,/news/edgar-wright-direct-london-based-psychological-horror-film-1177731
5,news,/features/how-melissa-mccarthy-stepped-julianne-moore-can-you-ever-forgive-me-1172472
6,news,/news/toronto-download-thrs-day-1-daily-1140765
7,news,/news/kevin-smith-says-hes-ashamed-harvey-weinstein-financed-his-work-1046964
8,news,/news/mpaas-r-rating-anti-abortion-film-disputed-by-distributor-pure-flix-1189183
9,news,/news/tiff-programmers-how-toronto-is-leading-push-gender-parity-1140699
10,news,/news/box-office-preview-female-led-oceans-8-win-weekend-35m-40m-heist-1117792
11,news,/news/red-writers-jon-erich-hoeber-pen-dave-bautista-stx-comedy-1100507
12,news,/news/galloway-film-how-steven-spielberg-keeps-confounding-his-critics-1098871
13,news,/news/how-cinestate-film-studio-is-turning-controversial-topics-revenue-1178338
14,news,/news/darren-aronofskys-spheres-is-first-vr-film-at-telluride-film-festival-1138714
15,news,/news/netflix-nabs-canadian-zombie-pic-les-affames-1080848
16,news,/news/imperative-picks-up-female-fronted-thriller-alice-1135122
17,news,/news/jordan-peele-writing-get-i-didn-t-know-it-was-ever-going-get-made-1083038
18,news,/news/black-panther-writer-joe-robert-cole-make-directing-debut-all-day-a-night-1120981
19,news,/news/awkwafina-drama-farewell-lands-at-a24-1179548
20,news,/news/unreal-premiere-battle-sexes-post-added-athena-film-festival-2018-1083020
21,news,/news/daisy-ridley-talks-instant-fame-tears-up-remembering-carrie-fisher-1047721
22,news,/features/jack-antonoff-kesha-tim-mcgraw-more-thr-songwriter-roundtable-1162368
23,news,/news/guillermo-del-toro-warns-fans-fake-tickets-acting-classes-1093157
24,news,/news/feminist-thriller-bellwether-be-released-by-giant-pictures-1176752
25,news,/news/beautiful-boy-helmer-timothee-chalamet-films-emotional-scenes-1155981
26,news,/news/louis-cks-i-love-you-daddy-release-under-review-misconduct-claims-1056708
27,news,/news/how-metoo-movement-could-kill-some-sexy-hollywood-movies-1073212
28,news,/news/director-vincent-sabella-honestly-portraying-schizophrenia-elizabeth-blue-1041690
29,news,/news/caa-signs-albert-hughes-1199023
30,news,/news/dev-patel-reveals-link-between-slumdog-millionaire-hotel-mumbai-at-toronto-international-film-festia-1141273
31,news,/news/why-original-lion-king-writers-are-losing-years-remake-1174451
32,news,/news/box-office-hitmans-bodyguard-logan-lucky-friday-numbers-1030813
33,news,/news/afm-chief-jonathan-wolf-talks-netflix-importance-physical-market-goal-is-drive-up-prices-1158000
34,news,/news/lady-gaga-sean-penn-honor-bradley-cooper-at-american-cinematheque-gala-1165182
35,news,/news/watch-hollywood-reporters-full-actor-roundtable-mahershala-ali-chadwick-boseman-more-1176280
36,news,/news/academy-reveals-nicholl-screenwriting-fellowships-winners-1145006
37,news,/news/ethan-hawke-teams-up-charlie-sexton-louis-black-new-record-label-1139387
38,news,/news/colin-firth-julie-walters-join-secret-garden-1106362
39,news,/news/jake-gyllenhaal-ansel-elgort-zendaya-star-crime-drama-finest-kind-1083439
40,news,/features/screenwriting-is-a-bastardized-form-writer-roundtable-1160626
41,news,/news/david-henry-hwang-write-tiger-empress-animated-film-1118097
